Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Противоугонная система,Центральный замок,Фронтальные,Усилитель руля,Управление климатом,Салон,Цвет салона,Мультимедиа и навигацияMP3,Управление на руле,Подушки безопасности,Коленные,Боковые передние,Сигнализация,Иммобилайзер,Электропривод,Кожаный руль,Активная безопасность,Антипробуксовка,Мультимедиа и навигация,Фары,Распред. тормозных усилий,Блок. дифференциала,Датчик дождя,Парктроник задний,Кожа,Мультимедиа и навигацияCD/DVD/Blu-rayMP3USBAUXBluetooth,Гидравлический,Омыватели фар,Обогрев,Помощь при вождении,Шторки,Электростеклоподъемники,Круиз-контроль,Боковые задние,Экстренное торможение,Климат-контроль многозонный,Датчик света,Люк,Светлый,Зеркал
"Audi A3 1.6 AT, 2007, 145 000 км","4,8",745000,"Москва, Новоорловская ул., вл3Бс1",2007,8P рестайлинг (2004—2008),145 000 км,8 записей в отчёте Автотеки,Дубликат,2,Не битый,1.6 Tiptronic (102 л.с.),1.6 л,Бензин,Автомат,Передний,Base,Хетчбек 3-дверный,Красный,Левый,WAUZ*************,Не интересует,Сигнализация,Подушки безопасности,Боковые передние,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 80 1.8 MT, 1988, 350 000 км","4,6",220000,"Омская обл., Исилькульский р-н, Исилькуль, Юбилейная ул., 20",1988,B3 (1986—1991),350 000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Белый,Левый,WAUZ*************,Не интересует,,,,,,Люк,Тёмный,РадиоUSBAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AMT, 2020, 63 000 км","4,9",3950000,"Москва, Новомосковский административный округ, поселение Московский, д. Саларьево",2020,II (2016—2020),63 000 км,2 записи в отчёте Автотеки,,1,Не битый,45 TFSI 2.0 quattro S tronic (249 л.с.),2 л,Бензин,Робот,Полный,,Внедорожник 5-дверный,Белый,Левый,WA1B*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 AT, 2020, 44 500 км","5,0",5550000,"Минск, ул. Тимирязева, 125к10",2020,4M рестайлинг (2019—2024),44 500 км,2 записи в отчёте Автотеки,,1,Не битый,55 TFSI 3.0 quattro Tiptronic (340 л.с.),3 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Серый,Левый,WA1L*************,Не интересует,,,,Гидравлический,Климат-контроль многозонный,,,,Противоугонная система,,,,Центральный замок,Спутник,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A3 1.2 AMT, 2014, 137 000 км","4,7",1390000,"Республика Башкортостан, Уфа, ул. Шмидта, 162",2014,8V (2012—2016),137 000 км,20 записей в отчёте Автотеки,Оригинал,1,Не битый,1.2 TFSI S tronic (110 л.с.),1.2 л,Бензин,Робот,Передний,Ambition,Хетчбек 5-дверный,Белый,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,,,,,,Память настроек,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A5 2.0 AMT, 2016, 92 000 км",Отсутствует,2600000,"Челябинская обл., Челябинск, ул. Героев Танкограда, 7",2016,II (2016—2020),92 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,45 TFSI 2.0 quattro S tronic (249 л.с.),2 л,Бензин,Робот,Полный,Sport,Купе,Чёрный,Левый,WAUZ*************,Не интересует,Центральный замок,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A7 3.0 AMT, 2017, 128 800 км","5,0",3500000,"Свердловская обл., Екатеринбург, ул. Циолковского, 27",2017,I рестайлинг (2014—2018),128 800 км,19 записей в отчёте Автотеки,Оригинал,2,Не битый,3.0 TFSI quattro S tronic (333 л.с.),3 л,Бензин,Робот,Полный,Base,Лифтбек,Фиолетовый,Левый,WAUZ*************,Не интересует,,,,,Климат-контроль многозонный,Кожа,,,,,,,Центральный замок,,,Противоугонная система,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A4 1.8 CVT, 2013, 186 000 км","4,8",1400000,"Чувашская Республика, г.о. Чебоксары, Ленинский район, пл. Республики",2013,B8 рестайлинг (2011—2015),186 000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 TFSI Multitronic (160 л.с.),1.8 л,Бензин,Вариатор,Передний,Base,Седан,Чёрный,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль однозонный,,,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 AT, 2011, 259 912 км","4,8",2250000,"Санкт-Петербург, пр-т Королёва",2011,4L рестайлинг (2009—2015),259 912 км,20 записей в отчёте Автотеки,Дубликат,4+,Не битый,3.0 TDI quattro Tiptronic (239 л.с.),3 л,Дизель,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,WAUZ*************,Не интересует,Центральный замок,,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 100 1.8 MT, 1989, 200 000 км","5,0",110000,"Пензенская обл., Городищенский р-н, с. Чаадаевка, ул. Ленина, 189",1989,C3 рестайлинг (1988—1991),200 000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Красный,Левый,WAUZ*************,Возможен,,,,Гидравлический,,Ткань,Тёмный,,,,,,,,,,,,РадиоUSBAUX,Противотуманные,,,,,,,,,,,,,,,,,,,,
"Audi Q8 3.0 AT, 2019, 53 400 км","5,0",7100000,"Ставропольский край, Ставрополь",2019,I (2018—2023),53 400 км,5 записей в отчёте Автотеки,Электронный,1,Не битый,50 TDI 3.0 quattro Tiptronic (286 л.с.),3 л,Дизель,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,WAUZ*************,,Центральный замок,,,Электрогидравлический,Климат-контроль многозонный,,,,,Фронтальные,,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AMT, 2013, 229 000 км","4,7",2050000,"Московская обл., Клин, ул. Карла Маркса, 99",2013,I рестайлинг (2012—2017),229 000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 TDI quattro S tronic (177 л.с.),2 л,Дизель,Робот,Полный,Comfort,Внедорожник 5-дверный,Чёрный,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A4 2.0 AMT, 2014, 175 000 км","4,8",1850000,"Республика Башкортостан, Дуванский р-н, с. Месягутово, ул. Игнатия Усова",2014,B8 рестайлинг (2011—2015),175 000 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TFSI quattro S tronic (225 л.с.),2 л,Бензин,Робот,Полный,,Седан,Чёрный,Левый,WAUZ*************,Не интересует,Сигнализация,Иммобилайзер,,Электрический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 Allroad Quattro 3.0 AT, 2019, 59 000 км","5,0",5099000,"Ивановская обл., Иваново, Ленинский район, мкр-н Московский",2019,C8 (2019—2024),59 000 км,,Электронный,1,Не битый,45 TDI 3.0 quattro Tiptronic (231 л.с.),3 л,Дизель,Автомат,Полный,Base,Универсал,Чёрный,Левый,WAUZ*************,Не интересует,,,,Электрогидравлический,Климат-контроль многозонный,,,,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 1.8 AMT, 2017, 198 000 км","5,0",2480000,"Рязанская обл., Рязань, Московский район, Юбилейная ул., 5В",2017,C7 рестайлинг (2014—2018),198 000 км,17 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 TFSI S tronic (190 л.с.),1.8 л,Бензин,Робот,Передний,Business,Седан,Чёрный,Левый,WAUZ*************,Не интересует,Сигнализация,Иммобилайзер,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q3 2.0 AMT, 2016, 142 000 км","4,7",2200000,"Ставропольский край, Шпаковский р-н, Михайловск, ул. Ленина, 158/2",2016,I рестайлинг (2014—2018),142 000 км,15 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 TFSI quattro S tronic (180 л.с.),2 л,Бензин,Робот,Полный,Sport,Внедорожник 5-дверный,Оранжевый,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,Цвет салона,Антиблокировка тормозов,Курсовая устойчивость,,,Экстренное торможение,Салон,,,,,,,,,,,,,,,,,,
"Audi A6 2.0 AMT, 2021, 37 000 км","4,8",4850000,"Белгородская обл., Валуйский г.о., Валуйки, ул. Максима Горького",2021,C8 (2018—2023),37 000 км,12 записей в отчёте Автотеки,Оригинал,1,Не битый,40 TFSI 2.0 S tronic (190 л.с.),2 л,Бензин,Робот,Передний,,Седан,Чёрный,Левый,WAUZ*************,Не интересует,Сигнализация,Спутник,,,,Кожаный руль,,,,,,,,,,,,,,Адаптивное освещение,,,,,,,,,,,,,,,,,,,,
"Audi Q3 2.0 AMT, 2011, 211 274 км","4,8",1399000,"Удмуртская Республика, Ижевск, ул. Ленина, 178/2",2011,I (2011—2014),211 274 км,43 записи в отчёте Автотеки,Оригинал,4+,Не битый,2.0 TFSI quattro S tronic (211 л.с.),2 л,Бензин,Робот,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WAUZ*************,Возможен,Сигнализация,Иммобилайзер,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q3 2.0 MT, 2019, 198 000 км","4,9",2300000,"Москва, Каширское ш., 61к3А",2019,II (2018—2024),198 000 км,Проверить в Автотеке,Электронный,1,Не битый,35 TDI 2.0 quattro MT (150 л.с.),2 л,Дизель,Механика,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WAUZ*************,Не интересует,,,,Гидравлический,Климат-контроль многозонный,,,,Противоугонная система,,,,Центральный замок,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AT, 2014, 78 000 км","4,7",2750000,"Курганская обл., Шадринск, Октябрьская ул., 37",2014,I рестайлинг (2012—2017),78 000 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TFSI quattro Tiptronic (225 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Не интересует,,,,Гидравлический,Климат-контроль многозонный,,,,Помощь при вождении,,,,,,,,,,,,,,Датчик света,Бортовой компьютер,,,,,,,,,,,,,,,,
"Audi Q5 3.0 AMT, 2013, 231 000 км","4,7",1800000,"Республика Башкортостан, Уфа, Трамвайная ул., 1/4",2013,I рестайлинг (2012—2017),231 000 км,8 записей в отчёте Автотеки,,3,Не битый,3.0 TDI quattro S tronic (245 л.с.),3 л,Дизель,Робот,Полный,Base,Внедорожник 5-дверный,Бежевый,Левый,WAUZ*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AT, 2013, 169 000 км","4,7",2390000,"Саратовская обл., Саратов, Волжский район",2013,I рестайлинг (2012—2017),169 000 км,14 записей в отчёте Автотеки,,3,Не битый,2.0 TFSI quattro AT (225 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Коричневый,Левый,XW8Z*************,Не интересует,,,,,Климат-контроль однозонный,,,,Салон,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,,Кожаный руль,,,,,,,,,,,,,,,
"Audi 80 2.0 MT, 1993, 344 900 км","4,8",305000,"Костромская обл., Нерехтский р-н, городское поселение Нерехта, Нерехта, Нерехтская ул., 3А",1993,B4 (1991—1996),344 900 км,12 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 MT (90 л.с.),2 л,Бензин,Механика,Передний,Base,Седан,Серый,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,Усилитель руля,Управление климатом,,,,,,,,,,,,,
"Audi A3 1.6 AMT, 2010, 246 502 км","4,8",949000,"Удмуртская Республика, Ижевск, ул. Ленина, 178/1",2010,8P рестайлинг 2 (2008—2013),246 502 км,6 записей в отчёте Автотеки,,2,Не битый,1.6 S tronic (102 л.с.),1.6 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Белый,Левый,WAUZ*************,,,,,,,,,,,,,,,,,,,,,Галогенные,,,,,,,,"Шины и диски16""",Передних сидений,Камера заднего вида,,,,,,,,,,
"Audi A4 1.8 CVT, 2013, 166 000 км","4,8",1450000,"Архангельская обл., Новодвинск, ул. 3-й Пятилетки, 27",2013,B8 рестайлинг (2011—2015),166 000 км,14 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 TFSI Multitronic (170 л.с.),1.8 л,Бензин,Вариатор,Передний,Comfort,Седан,Белый,Левый,WAUZ*************,Не интересует,,,Коленные,Электрический,Климат-контроль однозонный,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,Боковые передние,,,,,,,,,
"Audi 100 1.8 MT, 1987, 500 000 км","4,7",92000,"Ульяновская обл., Инзенский р-н, Инзенское городское поселение, Инза, Социалистический пер., 2",1987,C3 (1982—1988),500 000 км,2 записи в отчёте Автотеки,Оригинал,4+,Не битый,1.8 MT (88 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Серебряный,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 2.5 MT, 1999, 300 000 км","4,8",450000,"Ставропольский край, Советский муниципальный округ, Зеленокумск",1999,C5 (1997—2001),300 000 км,7 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.5 TDI MT (150 л.с.),2.5 л,Дизель,Механика,Передний,Base,Универсал,Чёрный,Левый,WAUZ*************,Возможен,,,,Гидравлический,Климат-контроль многозонный,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,Передние и задние,,,,,,,,
"Audi A6 2.7 MT, 2005, 288 197 км","4,6",800000,"Новгородская обл., Великий Новгород",2005,С6 (2004—2008),288 197 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,2.7 TDI MT (180 л.с.),2.7 л,Дизель,Механика,Передний,Base,Седан,Синий,Левый,WAUZ*************,Не интересует,,,,Электрический,,Кожа,,,,,,,,,,Помощь при вождении,,,,,,,Датчик света,,,,,,,,,,Бортовой компьютер,,,,,,,
"Audi A4 2.0 CVT, 2005, 264 182 км","4,9",680000,"Свердловская обл., Екатеринбург, ул. Репина, 13",2005,B7 (2004—2009),264 182 км,21 запись в отчёте Автотеки,,4+,Не битый,2.0 Multitronic (130 л.с.),2 л,Бензин,Вариатор,Передний,Base,Седан,Красный,Левый,WAUZ*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A3 1.4 AMT, 2011, битый, 149 622 км","4,8",620000,"Москва, 7-я Кожуховская ул.",2011,8P рестайлинг 2 (2008—2013),149 622 км,17 записей в отчёте Автотеки,Оригинал,2,Битый,1.4 TFSI S tronic (125 л.с.),1.4 л,Бензин,Робот,Передний,Ambiente,Хетчбек 5-дверный,Белый,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль многозонный,Кожа,,,,,,,,,,Цвет салона,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 2.8 AMT, 2011, 161 860 км","4,9",1300000,"Республика Татарстан, Казань, ул. Декабристов, 96",2011,C7 (2011—2014),161 860 км,20 записей в отчёте Автотеки,,4+,Не битый,2.8 FSI quattro S tronic (204 л.с.),2.8 л,Бензин,Робот,Полный,Base,Седан,Серый,Левый,WAUZ*************,Возможен,,,Шторки,,Климат-контроль многозонный,Ткань,,,,,,,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AT, 2013, 190 720 км","4,7",2300000,"Республика Крым, Симферопольский р-н, Гвардейское сельское поселение, пгт. Гвардейское, ул. Гагарина",2013,I рестайлинг (2012—2017),190 720 км,20 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TFSI quattro AT (225 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Коричневый,Левый,WAUZ*************,Возможен,,,Шторки,Электрический,,Кожа,,,,,,Боковые задние,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 2.4 CVT, 2007, 300 000 км","4,6",830000,"Ставропольский край, Ессентуки",2007,С6 (2004—2008),300 000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,2.4 Multitronic (177 л.с.),2.4 л,Бензин,Вариатор,Передний,Base,Седан,Чёрный,Левый,WAUZ*************,Не интересует,,,,,,,,,,Фронтальные,,,,,,,,,,,,,,,,,Управление климатом,,,,Боковые передние,,,Усилитель руля,,,,,,
"Audi Q5 2.0 AT, 2012, 215 000 км","4,7",1849000,"Ярославская обл., Ярославль, Ленинградский пр-т, 49А",2012,I рестайлинг (2012—2017),215 000 км,39 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 TFSI quattro AT (225 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,WAUZ*************,Не интересует,,,,Гидравлический,Климат-контроль многозонный,,,,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A3 1.4 AMT, 2018, 57 500 км","5,0",2390000,"Самарская обл., Самара, 7-я просека",2018,8V рестайлинг (2016—2020),57 500 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,35 TFSI 1.4 S tronic (150 л.с.),1.4 л,Бензин,Робот,Передний,Sport,Седан,Белый,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AT, 2010, 135 000 км","4,5",1800000,"Московская обл., Богородский г.о., д. Жилино, мкр-н Яхонтовый, 131",2010,I (2008—2012),135 000 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TFSI quattro Tiptronic (211 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Красный,Левый,XW8Z*************,Не интересует,Сигнализация,,,,,,,,Цвет салона,,,,,,,,Антипробуксовка,,,,,,,,,,,,,,,,,,Управление климатом,,,,,
"Audi A6 3.0 AT, 2019, 180 000 км","4,9",3300000,"Москва, Каширское ш., 61Г",2019,C8 (2018—2023),180 000 км,Проверить в Автотеке,Электронный,1,Не битый,45 TDI 3.0 quattro Tiptronic (231 л.с.),3 л,Дизель,Автомат,Полный,Base,Универсал,Чёрный,Левый,WAUZ*************,Не интересует,,,,,,Кожа,,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,Экстренное торможение,Управление климатом,,,,,,,,,,,,,,Управление на руле,,,,
"Audi A3 1.2 AMT, 2012, 126 000 км","4,8",1050000,"Оренбургская обл., Оренбург, мкр-н Красный Городок, Тамбовская ул., 6",2012,8P рестайлинг 2 (2008—2013),126 000 км,7 записей в отчёте Автотеки,Оригинал,1,Не битый,1.2 TFSI S tronic (105 л.с.),1.2 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Чёрный,Левый,WAUZ*************,Не интересует,,Усилитель руля,,,,,,,,,,,,,,,,,,,,,,,,,Управление климатом,,,Датчик дождя,,,,,,,Противоугонная система,,,
"Audi A1 1.4 AMT, 2013, 137 000 км","4,8",1050000,"Санкт-Петербург, ул. Руставели, 31А",2013,8X (2010—2015),137 000 км,11 записей в отчёте Автотеки,,3,Не битый,1.4 TFSI S tronic (122 л.с.),1.4 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Белый,Левый,WAUZ*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 Allroad Quattro 3.0 AMT, 2016, 161 000 км","5,0",3300000,"Москва, Школьная ул.",2016,C7 рестайлинг (2014—2019),161 000 км,31 запись в отчёте Автотеки,Оригинал,3,Не битый,3.0 TFSI quattro S tronic (333 л.с.),3 л,Бензин,Робот,Полный,Advance,Универсал,Серый,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 AT, 2006, 353 000 км","4,7",1300000,"Московская обл., г.о. Пушкинский, Ивантеевка, Пионерская ул.",2006,4L (2005—2009),353 000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,3.0 TDI quattro Tiptronic (233 л.с.),3 л,Дизель,Автомат,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WAUZ*************,Не интересует,,,,,,,,,,Фронтальные,,,,,,,,,,,,,,,,,Управление климатом,,,,Боковые передние,,,Усилитель руля,,,,,,
"Audi A3 1.4 AMT, 2014, 159 000 км","4,6",1550000,"Смоленская обл., Смоленский р-н, д. Киселёвка, Никольская ул.",2014,8V (2012—2016),159 000 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.4 TFSI S tronic (122 л.с.),1.4 л,Бензин,Робот,Передний,Ambition,Седан,Белый,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 80 1.8 MT, 1989, 350 000 км","4,6",154000,"Тюменская обл., Тюмень, ул. Первооткрывателей, 4",1989,B3 (1986—1991),350 000 км,,Оригинал,2,Не битый,1.8 MT (88 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Красный,Левый,WUAZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 AT, 2018, 118 000 км","5,0",4450000,"Тюменская обл., Ханты-Мансийский АО, Нижневартовск, Омская ул., 28",2018,4M (2015—2020),118 000 км,18 записей в отчёте Автотеки,Оригинал,3,Не битый,45 TDI 3.0 quattro Tiptronic (249 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Серый,Левый,WAUZ*************,,,,,Гидравлический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 80 1.8 MT, 1988, 200 000 км","4,6",135000,"Ставропольский край, Советский муниципальный округ, Зеленокумск, пл. Ленина",1988,B3 (1986—1991),200 000 км,Проверить в Автотеке,Оригинал,4+,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Синий,Левый,WAUZ*************,Возможен,,,,,,Ткань,,,,,,,Центральный замок,,,,,,,,,,,,,,,,,,,Только передние,,,,,,Цвет салона,Противоугонная система,
"Audi A4 1.8 CVT, 2013, 185 331 км","4,8",1490000,"Республика Крым, Красноперекопск",2013,B8 рестайлинг (2011—2015),185 331 км,15 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 TFSI Multitronic (120 л.с.),1.8 л,Бензин,Вариатор,Передний,Base,Седан,Белый,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A3 1.4 AMT, 2014, 51 737 км","4,6",1795000,"Московская обл., Люберцы, Октябрьский пр-т, 8к1",2014,8V (2012—2016),51 737 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 TFSI S tronic (125 л.с.),1.4 л,Бензин,Робот,Передний,,Седан,Чёрный,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 100 2.0 MT, 1992, 345 685 км","4,8",420000,"Пензенская обл., Пенза, Первомайский район, мкр-н Терновка",1992,C4 (1990—1994),345 685 км,9 записей в отчёте Автотеки,Дубликат,3,Не битый,2.0 MT (115 л.с.),2 л,Бензин,Механика,Передний,Base,Седан,Синий,Левый,WAUZ*************,Не интересует,,,,Гидравлический,,Комбинированный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Электропривод,,Противоугонная система
"Audi A6 Allroad Quattro 3.0 AT, 2020, 68 900 км","5,0",5850000,"Самарская обл., Самара, Ново-Садовая ул., 106",2020,C8 (2019—2024),68 900 км,Проверить в Автотеке,Электронный,1,Не битый,45 TDI 3.0 quattro Tiptronic (231 л.с.),3 л,Дизель,Автомат,Полный,Base,Универсал,Чёрный,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A6 3.1 AT, 2008, 332 486 км","4,6",1250000,"Московская обл., Ленинский г.о., д. Мисайлово, Первомайская ул.",2008,С6 (2004—2008),332 486 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,3.1 quattro Tiptronic (249 л.с.),3.1 л,Бензин,Автомат,Полный,Base,Седан,Бежевый,Левый,WAUZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
