Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Усилитель руля,Управление климатом,Управление на руле,Подушки безопасности,Коленные,Боковые передние,Антиблокировка тормозов,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Обнаружение пешеходов,Кондиционер,Противоугонная система,Центральный замок,Атермальное остекление,Сигнализация,Иммобилайзер,Фронтальные,Цвет салона,Электростеклоподъемники,Помощь при вождении,Фары,Боковые задние,Электрический,Салон,Климат-контроль многозонный,Кожаный руль,Данные о ,О,Шторки,Блок. дифференциала,Климат-контроль однозонный,Мультимедиа и навигацияCD/DVD/Blu-rayMP3Bluetooth,Датчик дождя,Бортовой компьютер,Передних сидений,Электропривод,Память настроек,Гидравлический,Обслуживался у дилера,Спутник,Электрогидравлический,Обогрев,Зеркал,"Шины и диски15""",Мультимедиа и навигация,Складывания зеркал,Заднего стекла,Ткань,Круиз-контроль,Камера заднего вида,Люк,Тёмный,Передние и задние
"Honda Accord 2.4 AT, 2013, 156 000 км","4,8",1850000,"Мурманская обл., Мурманск, пр-т Ленина, 32",2013,IX (2012—2016),156 000 км,15 записей в отчёте Автотеки,Оригинал,3,Не битый,2.4 AT (180 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Седан,Серебряный,Левый,1HGC*************,Не интересует,Гидравлический,Климат-контроль многозонный,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2007, 251 000 км","4,9",1150000,"Санкт-Петербург, ул. Дыбенко, 26",2007,III (2006—2009),251 000 км,8 записей в отчёте Автотеки,,2,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Серебряный,Левый,SHSR*************,Возможен,Гидравлический,Климат-контроль многозонный,,Фронтальные,,Активная безопасность,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Fit 1.3 CVT, 2020, 53 600 км","5,0",1410000,"Тюменская обл., Тюмень, 2-й мкр-н",2020,GR (2019—2022),53 600 км,,Оригинал,1,Не битый,1.3 CVT (98 л.с.),1.3 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Серый,Правый,GR1-*******,Не интересует,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,Управление климатом,Салон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 MT, 2008, 162 136 км","4,9",1299099,"Санкт-Петербург, пр-т Маршала Жукова, 78",2008,VIII (2007—2011),162 136 км,11 записей в отчёте Автотеки,,2,Не битый,2.4 MT (201 л.с.),2.4 л,Бензин,Механика,Передний,,Седан,Серый,Левый,JHMC*************,Возможен,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Ridgeline 3.5 AT, 2021, 52 000 км",Отсутствует,4500000,"Московская обл., г.о. Домодедово, с. Домодедово, Песчаная ул.",2021,II рестайлинг (2021—2024),52 000 км,,Электронный,2,Не битый,3.5 4WD AT (280 л.с.),3.5 л,Бензин,Автомат,Полный,Базовая,Пикап,Белый,Левый,5FPY*************,Не интересует,Электрический,Управление на руле,,,,,,,,,,,,,Противоугонная система,Центральный замок,Спутник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2007, 268 000 км","4,8",690000,"Московская обл., Богородский г.о., Ногинск, ул. Кирова, 1",2007,VIII (2005—2009),268 000 км,19 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Синий,Левый,SHHF*************,Не интересует,Электрический,Климат-контроль однозонный,Подушки безопасности,,,,,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Breeze 1.5 CVT, 2023, 10 км",Отсутствует,4529000,"Мурманская обл., Мурманск, Кольский пр-т, 83",2023,II (2022—2024),10 км,,,1,Не битый,240T 1.5 4WD CVT (193 л.с.),1.5 л,Бензин,Вариатор,Полный,Exclusive,Внедорожник 5-дверный,Зелёный,Левый,LHGR*************,Возможен,Электрический,Кондиционер,,,,,,,,,,,Сигнализация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Fit Shuttle 1.3 CVT, 2011, 127 000 км","4,7",1050000,"Новосибирская обл., Доволенский р-н, с. Довольное",2011,I (2011—2013),127 000 км,,Электронный,2,Не битый,1.3hyb CVT (88 л.с.),1.3 л,Гибрид,Вариатор,Передний,Базовая,Универсал,Синий,Правый,M580*****,Не интересует,Гидравлический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,Светлый,Передние и задние,Камера заднего вида,Ксеноновые,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022 Новый",Отсутствует,2900000,"Ростовская обл., Ростов-на-Дону, ул. Мечникова, 112Б",2022,I (2022—2024),,,,,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Голубой,Левый,LVHR*************,,,,,Фронтальные,Боковые передние,,,,,,,,,,,,,,,,,,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda ZR-V 1.5 CVT, 2022 Новый","5,0",4790000,"Москва, Домостроительная ул., 4с1",2022,I (2022—2024),,,Электронный,,Не битый,1.5 CVT (182 л.с.),1.5 л,Бензин,Вариатор,Передний,Base,Внедорожник 5-дверный,Синий,Левый,LHGR*************,,Электрический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022 Новый",Отсутствует,3599000,"Тульская обл., Тула, ул. Павшинский Мост, 2А",2022,I (2022—2024),,,Оригинал,,Не битый,0.0 AT (182 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Голубой,Левый,LVHR*************,,Электрический,Кондиционер,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NP1 AT, 2023, 50 км",Отсутствует,3250000,"Краснодарский край, Краснодар, ул. имени Дзержинского, 100",2023,I (2022—2024),50 км,,Электронный,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LHGR*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2014, 243 000 км","5,0",1770000,"Санкт-Петербург, ш. Революции, 86",2014,IV (2011—2015),243 000 км,30 записей в отчёте Автотеки,,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Белый,Левый,SHSR*************,,,,,Фронтальные,Шторки,Управление климатом,,,,,,,,,,,,,,,,,,,,Салон,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2008, 158 918 км","4,8",989000,"Свердловская обл., Берёзовский г.о., Берёзовский, Берёзовский тракт, 4Б",2008,VIII рестайлинг (2008—2011),158 918 км,15 записей в отчёте Автотеки,,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Красный,Левый,SHHF*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda N-WGN 0.7 CVT, 2018, 35 200 км","5,0",1230000,"Краснодарский край, Сочи, Виноградная ул., 22/1Б",2018,I рестайлинг (2016—2019),35 200 км,Проверить в Автотеке,Электронный,2,Не битый,0.7 CVT (58 л.с.),0.7 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Белый,Правый,JH1-*******,Не интересует,Гидравлический,Климат-контроль однозонный,,Фронтальные,,,,,,,,,Центральный замок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Fit Shuttle 1.3 CVT, 2013, 78 000 км","4,7",1249000,"Курганская обл., Курган, Чернореченская ул.",2013,I рестайлинг (2013—2015),78 000 км,Проверить в Автотеке,Электронный,1,Не битый,1.3hyb CVT (88 л.с.),1.3 л,Гибрид,Вариатор,Передний,Базовая,Универсал,Чёрный,Правый,GP23******,Не интересует,Электрический,Климат-контроль однозонный,Атермальное остекление,,,,,,,,,,Центральный замок,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Pilot 3.5 AT, 2013, 149 000 км","4,9",1999000,"Москва, 2-й Вязовский пр., 12с4",2013,II рестайлинг (2011—2015),149 000 км,20 записей в отчёте Автотеки,,2,Не битый,3.5 4WD AT (249 л.с.),3.5 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Белый,Левый,5KBY*************,Возможен,,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,Кожа,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2007, 216 204 км","4,9",1085000,"Санкт-Петербург, Софийская ул., 2",2007,III (2006—2009),216 204 км,16 записей в отчёте Автотеки,,3,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Базовая,Внедорожник 5-дверный,Серый,Левый,SHSR*************,Возможен,,Климат-контроль многозонный,,,,,,,,,,,,,,Центральный замок,,,,,,,,,Кожа,,Противоугонная система,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2010, 54 000 км","4,8",1350000,"Краснодарский край, Краснодар, Российская ул., 131/1",2010,I (2008—2016),54 000 км,,Электронный,1,Не битый,1.5 CVT (118 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,GB3-*******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2014, 324 142 км","5,0",1795000,"Тюменская обл., Тюмень, Окружная дорога, 11-й километр, 6",2014,IV (2011—2015),324 142 км,12 записей в отчёте Автотеки,,4+,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Lifestyle,Внедорожник 5-дверный,Серый,Левый,SHSR*************,,,Климат-контроль многозонный,,,,,,,,,,,,,,,,Коленные,,,,,,,Ткань,,Подушки безопасности,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,
"Honda N-WGN 0.7 CVT, 2017, 115 000 км","5,0",979000,"Санкт-Петербург, пр-т Просвещения, 53к1",2017,I рестайлинг (2016—2019),115 000 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,0.7 4WD CVT (58 л.с.),0.7 л,Бензин,Вариатор,Полный,Базовая,Хетчбек 5-дверный,Серый,Правый,JH2-*******,,Электрогидравлический,Климат-контроль однозонный,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,Светлый,,,,,,,,,,,,Обнаружение пешеходов,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.2 MT, 2008, 326 000 км","4,9",1320000,"Смоленская обл., Смоленск, ул. Ленина",2008,III (2006—2009),326 000 км,9 записей в отчёте Автотеки,Оригинал,1,Не битый,2.2 D 4WD MT (140 л.с.),2.2 л,Дизель,Механика,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,Не интересует,Гидравлический,Кондиционер,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2011, 169 000 км","4,9",2000000,"Нижегородская обл., Нижний Новгород, Канавинский район, жилой район Мещерское Озеро, Пролетарская ул., 3",2011,III рестайлинг (2009—2012),169 000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Lifestyle,Внедорожник 5-дверный,Белый,Левый,SHSR*************,Не интересует,Гидравлический,Климат-контроль многозонный,Подушки безопасности,,,,,,,,,,,,,,,Коленные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda N-BOX 0.7 CVT, 2018, 112 000 км","5,0",1129000,"Москва, Ленинградское ш. (дублёр)",2018,II (2017—2020),112 000 км,,Электронный,1,Не битый,0.7 CVT (58 л.с.),0.7 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Серый,Правый,JF3-*******,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Crosstour 2.4 AT, 2014, 196 544 км","5,0",1688000,"Московская обл., Люберцы, Новорязанское ш., 1Г",2014,I рестайлинг (2012—2015),196 544 км,18 записей в отчёте Автотеки,,4+,Не битый,2.4 AT (191 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Внедорожник 5-дверный,Коричневый,Левый,1HGT*************,,,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,Кожа,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Crosstour 3.5 AT, 2012, 270 000 км","5,0",1200000,"Санкт-Петербург, Белоостровская ул., 10к1",2012,I (2009—2012),270 000 км,14 записей в отчёте Автотеки,Оригинал,3,Не битый,3.5 4WD AT (275 л.с.),3.5 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,1HGT*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.4 AT, 2012, 186 000 км","5,0",1790000,"Ставропольский край, Ставрополь, пр-т Кулакова, 26А/2",2012,IV (2011—2015),186 000 км,8 записей в отчёте Автотеки,,2,Не битый,2.4 4WD AT (190 л.с.),2.4 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Серый,Левый,2HKR*************,,,,,Фронтальные,Шторки,Управление климатом,,,,,,,,,,,,,,,,,,,,Салон,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stream 1.8 AT, 2011, 108 000 км","5,0",1559000,"Свердловская обл., Екатеринбург, Кольцевая ул., 39А",2011,II рестайлинг (2009—2014),108 000 км,,Электронный,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Базовая,Минивэн,Чёрный,Правый,RN6-*******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda N-WGN 0.7 CVT, 2019, 41 400 км","5,0",990000,"Московская обл., Красногорск, Павшинский б-р",2019,I рестайлинг (2016—2019),41 400 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,0.7 CVT (58 л.с.),0.7 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Правый,JH1-*******,Не интересует,,Климат-контроль однозонный,,Фронтальные,,,,,,,,,,,,,,,Светлый,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,
"Honda N-BOX 0.7 CVT, 2019, 130 000 км","5,0",1350000,"Тульская обл., Тула, Щёкинское ш.",2019,II (2017—2020),130 000 км,,Электронный,1,Не битый,0.7 4WD CVT (58 л.с.),0.7 л,Бензин,Вариатор,Полный,Базовая,Хетчбек 5-дверный,Зелёный,Правый,JF4-*******,Возможен,Электрический,Климат-контроль однозонный,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,,,,,,,Велюр,,,,,,Обнаружение пешеходов,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022, 3 752 км",Отсутствует,3049000,"Ростовская обл., Аксайский р-н, Аксайское городское поселение, Аксай, Аксайский пр-т, 19",2022,I (2022—2024),3 752 км,Проверить в Автотеке,,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LVHR*************,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2023, 50 км",Отсутствует,2990000,"Краснодарский край, Краснодар, ул. имени Дзержинского, 100",2023,I (2022—2024),50 км,,Электронный,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,,Белый,Левый,LVHR*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Freed 1.5 CVT, 2011, 119 592 км","4,8",1350000,"Московская обл., г.о. Химки, д. Подолино, мкр-н Велтон Парк Новая Сходня, Беговая ул., 12",2011,I (2008—2016),119 592 км,,Электронный,1,Не битый,1.5 CVT (118 л.с.),1.5 л,Бензин,Вариатор,Передний,,Минивэн,Бордовый,Правый,GB3-*******,Не интересует,Электрический,Климат-контроль однозонный,,Фронтальные,,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 AT, 2006, 199 000 км","4,9",859000,"Кировская обл., Киров, ул. Мира, 39",2006,VII (2002—2006),199 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,2.4 AT (190 л.с.) Type S,2.4 л,Бензин,Автомат,Передний,Базовая,Седан,Серый,Левый,JHMC*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.3 MT, 2007, 305 000 км","4,8",750000,"Республика Татарстан, Азнакаевский р-н, муниципальное образование Азнакаево, Азнакаево, ул. Шайхутдинова, 12Б",2007,VIII (2005—2009),305 000 км,8 записей в отчёте Автотеки,,3,Не битый,1.3 MT (83 л.с.),1.3 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Синий,Левый,SHHF*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 178 000 км","4,9",773000,"Республика Татарстан, Набережные Челны, Казанский пр-т, 112/2",2007,VIII (2005—2009),178 000 км,12 записей в отчёте Автотеки,,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Синий,Левый,JHMF*************,,,,,,,,,,,,,Салон,Центральный замок,,,,Управление климатом,,,,Бортовой компьютер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 275 446 км","4,9",749700,"Воронежская обл., Воронеж, ул. Независимости, 84А",2007,VIII (2005—2009),275 446 км,11 записей в отчёте Автотеки,,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,,Седан,Золотой,Левый,JHMF*************,Возможен,,,,,,,,,,,,,Центральный замок,,,,Управление климатом,,,,Бортовой компьютер,,,,,,,,,,,Салон,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2010, 240 000 км","4,8",1000000,"Мурманская обл., Североморск, Инженерная ул., 7",2010,VIII рестайлинг (2008—2011),240 000 км,4 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Голубой,Левый,NLAF*************,Не интересует,Электрический,Климат-контроль однозонный,Противоугонная система,,,,,,,,,,,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 1.5 CVT, 2022, 21 000 км","5,0",3610000,"Краснодарский край, Краснодар, ул. имени Героя Георгия Бочарникова, 16",2022,V рестайлинг (2019—2024),21 000 км,,Электронный,1,Не битый,1.5 4WD CVT (190 л.с.),1.5 л,Бензин,Вариатор,Полный,Base,Внедорожник 5-дверный,Серый,Левый,2HKR*************,Возможен,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,Сигнализация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2005, 330 500 км","4,9",1150000,"Воронежская обл., Воронеж, ул. Космонавтов, 6",2005,II рестайлинг (2004—2006),330 500 км,7 записей в отчёте Автотеки,,3,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,SHSR*************,Возможен,,,,,,,,Антиблокировка тормозов,,,,,Центральный замок,,,,,,,,,Противотуманные,,,,,,,,,,,Помощь при вождении,Датчик света,Обогрев,Зеркал,Зеркал,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2008, 200 000 км","4,9",1300000,"Москва, Липецкая ул.",2008,III (2006—2009),200 000 км,12 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.0 MT, 2007, 360 000 км","4,7",800000,"Севастополь, ул. Хрусталёва, 109",2007,VII рестайлинг (2005—2008),360 000 км,19 записей в отчёте Автотеки,,4+,Не битый,2.0 MT (155 л.с.),2 л,Бензин,Механика,Передний,Базовая,Седан,Чёрный,Левый,JHMC*************,Возможен,,,,,,,,,,,,,Сигнализация,,,,Усилитель руля,,,,,,,,,,,,,,,,,,,,,Зеркал,Управление климатом,,,,,,,,,,,,,,,
"Honda Pilot 3.5 AT, 2008, 187 583 км","4,6",1000000,"Москва, ул. Скульптора Мухиной, 18",2008,II (2008—2011),187 583 км,9 записей в отчёте Автотеки,Оригинал,1,Не битый,3.5 4WD AT (257 л.с.),3.5 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Чёрный,Левый,5FNY*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,На гарантии,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2012, 181 000 км","5,0",2029000,"Тюменская обл., Тюмень, Московский тракт, 320",2012,IV (2011—2015),181 000 км,10 записей в отчёте Автотеки,,3,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 MT, 2008, 250 000 км","4,8",685000,"Республика Татарстан, Альметьевский р-н, муниципальное образование Альметьевск, Альметьевск, Геофизическая ул., 1В",2008,VIII рестайлинг (2008—2011),250 000 км,19 записей в отчёте Автотеки,,3,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Чёрный,Левый,NLAF*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Stepwgn 1.5 CVT, 2018, 110 000 км","4,8",3500000,"Тюменская обл., Тюмень, Ленинский округ",2018,V рестайлинг (2017—2022),110 000 км,,Электронный,1,Не битый,1.5 CVT (150 л.с.) Spada,1.5 л,Бензин,Вариатор,Передний,Базовая,Минивэн,Белый,Правый,RP3-*******,Не интересует,,,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,Усилитель руля,Управление климатом,,,,,,,,,,,,
"Honda Civic 1.8 AT, 2007, 140 000 км","4,9",719000,"Москва, ул. Покрышкина, 4",2007,VIII (2005—2009),140 000 км,14 записей в отчёте Автотеки,,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Синий,Левый,JHMF*************,Возможен,,Климат-контроль однозонный,,Фронтальные,,Активная безопасность,Курсовая устойчивость,,,,,,,,,,,,,,,,,,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022, 91 км",Отсутствует,3080000,"Ставропольский край, Ставрополь, ул. Южный Обход, 57",2022,I (2022—2024),91 км,Проверить в Автотеке,,1,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Белый,Левый,LVHR*************,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Центральный замок,,,,Подушки безопасности,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.0 AT, 2011, 109 290 км","4,8",1495000,"Москва, Дмитровское ш., 163Ак1",2011,VIII рестайлинг (2011—2013),109 290 км,6 записей в отчёте Автотеки,,1,Не битый,2.0 AT (156 л.с.),2 л,Бензин,Автомат,Передний,Базовая,Седан,Серебряный,Левый,JHMC*************,,,Климат-контроль многозонный,,,,,,,,,,,Центральный замок,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,,,Передних сидений,Заднего стекла,,,,,,,,,,
